entry,tidspunkt,temperatur,trykk,fuktighet,pm25,pm10
2540,2022-11-25 23:54:58.470274,4.518390220700122,1008.6000731111893,59.990300098276336,0,0
2541,2022-11-25 23:55:31.385536,4.512396045957528,1008.6955595322527,60.16396932897716,0,0
2542,2022-11-25 23:56:04.237732,4.507324052161327,1008.7259401609704,60.07945974807502,0,0
2543,2022-11-25 23:56:37.154255,4.889493014016671,1008.690463512779,60.17761595973254,0,0
2544,2022-11-25 23:57:10.075404,4.372685744034582,1008.6304096715072,60.59053720750544,0,0
2546,2022-11-25 23:58:15.841585,4.660867225122904,1008.807523713815,60.29094236701937,0,0
2547,2022-11-25 23:58:48.763941,4.1148182907597395,1008.7498733170048,59.80467489470724,0,0
2548,2022-11-25 23:59:21.622117,4.302021473906866,1008.7704149825904,59.47953495567398,0,0
2549,2022-11-25 23:59:54.537192,4.652836027502477,1008.7672316810839,59.52919069367713,0,0
2550,2022-11-26 00:00:27.470746,4.29437544039895,1008.7937608996319,59.76109414529376,0,0
2551,2022-11-26 00:01:00.318769,3.994012439424578,1008.6575809953046,59.81061492439614,0,0
2552,2022-11-26 00:01:33.234154,4.241349972528957,1008.7721060156357,59.690546663982246,0,0
2553,2022-11-26 00:02:06.153210,4.23562425481818,1008.7361960323603,59.809274629529355,0,0
2554,2022-11-26 00:02:39.004531,4.292531075934568,1008.7170740495859,59.9824399990242,0,0
2555,2022-11-26 00:03:11.918710,4.946282796247473,1008.7113994982147,59.31056312258247,0,0
2556,2022-11-26 00:03:44.836703,4.627207595045887,1008.6715017317493,59.83635489694793,0,0
2557,2022-11-26 00:04:17.684307,4.197546341538473,1008.7928615695101,59.78376707626885,0,0
2558,2022-11-26 00:04:50.603993,4.9414033181559125,1008.738046438717,59.86644439606977,0,0
2559,2022-11-26 00:05:23.523099,4.324346366627657,1008.9204439810397,59.76750598395121,0,0
2560,2022-11-26 00:05:56.378278,4.426440237493779,1008.7960759418607,60.12158420518073,0,0
2561,2022-11-26 00:06:29.296800,4.21948604698925,1008.8279440864068,59.877210189627256,0,0
2562,2022-11-26 00:07:02.210019,4.436584235906262,1008.7849620783797,60.30117861702463,0,0
2563,2022-11-26 00:07:35.052684,4.620098526255153,1008.8657334943413,60.239777526094166,0,0
2564,2022-11-26 00:08:07.974760,4.668513143707069,1008.895145136294,59.78818153838182,0,0
2565,2022-11-26 00:08:40.896343,4.824823317921954,1008.9369115414379,59.57785826746972,0,0
2566,2022-11-26 00:09:13.740422,4.54843689645532,1008.8043851993691,59.45428644419255,0,0
2567,2022-11-26 00:09:46.662280,4.902479073214861,1008.9623370354378,59.33002771783011,0,0
2568,2022-11-26 00:10:19.573382,4.5841333935822774,1008.8031097081627,60.09603977892864,0,0
2569,2022-11-26 00:10:52.425417,4.371377680234224,1008.7578277774791,59.83783790700658,0,0
2570,2022-11-26 00:11:25.347567,4.504825700430221,1008.8826492180109,60.09825397103035,0,0
2571,2022-11-26 00:11:58.268665,3.8734749211689774,1008.8278787415718,60.43631113742556,0,0
2572,2022-11-26 00:12:31.116511,4.396737709366935,1008.8359878616069,60.01280081962144,0,0
2573,2022-11-26 00:13:04.028221,4.576294840351399,1008.911335444359,60.20644845054403,0,0
2574,2022-11-26 00:13:36.955102,5.0219018898322405,1008.8360587035789,59.9674399259254,0,0
2575,2022-11-26 00:14:09.797335,5.041728854604898,1009.0053561910188,59.662273680123825,0,0
2576,2022-11-26 00:14:42.724378,4.893257238675408,1008.8768647396777,60.08379235944263,0,0
2577,2022-11-26 00:15:15.642393,4.732143811320545,1008.980729590183,59.81697010261528,0,0
2578,2022-11-26 00:15:48.493007,5.0873008418119685,1008.8875799403635,60.30650296637119,0,0
2579,2022-11-26 00:16:21.406690,4.765266633503417,1008.9821670643838,60.59748025047474,0,0
2580,2022-11-26 00:16:54.323342,3.950669909551662,1008.9321323649949,60.89458202542489,0,0
2581,2022-11-26 00:17:27.173753,4.815793854476723,1009.0248373122117,60.27060506403937,0,0
2582,2022-11-26 00:18:00.080959,4.389360245834161,1008.9265538128144,60.28139962192988,0,0
2583,2022-11-26 00:18:33.004924,4.800385431631345,1008.9045478964695,59.82484137431514,0,0
2584,2022-11-26 00:19:05.856327,4.918617285239468,1009.0345095032774,59.92129826212414,0,0
2585,2022-11-26 00:19:38.772163,4.7636905328431425,1008.9148751122366,60.25276779313332,0,0
2586,2022-11-26 00:20:11.693036,4.052378415661642,1009.0008454942108,60.264031768764006,0,0
2587,2022-11-26 00:20:44.532485,4.566419486647994,1009.0708393494945,59.82944872794763,0,0
2588,2022-11-26 00:21:17.449655,4.933641131744654,1009.0314985617416,59.51336820070767,0,0
